title,description,images,price
Cafetera Ariete Metal Espresso Professional Cofee,"La cafetera Ariete está diseñada para los amantes del café espresso y ofrece un café denso, aromático y cremoso. Su cuerpo de acero inoxidable le da un aspecto elegante y es considerada una joya de diseño para la cocina. Cuenta con un molinillo de café integrado que te permite moler tus propios granos y ajustar la molienda según tu preferencia. Puedes regular la cantidad de café y agua para obtener el equilibrio perfecto y el manómetro te ayuda a mantener los ajustes adecuados. Además, el dispositivo Maxi Cappuccino te permite espumar leche y también puedes utilizarla con monodosis ESE para obtener un espresso rápido y cremoso.",https://cdn.shopify.com/s/files/1/0500/5121/9607/files/cafetera2-100.jpg?v=1685133410,2199.00
Cafetera Vintage Blue,"La cafetera Ariete Vintage Blue 00M134205AR0 es un electrodoméstico de diseño clásico y retro que combina el encanto del pasado con tecnologías modernas para una preparación rápida y sencilla del café. Con su atractivo acabado en azul vintage, esta cafetera fabricada por Ariete destaca por su atención al detalle y calidad. Utilizando el sistema de preparación por goteo, puede hacer hasta 10 tazas de café, siendo ideal para familias numerosas o cuando se tienen invitados. Además, cuenta con un filtro permanente de acero inoxidable, eliminando la necesidad de filtros desechables y siendo respetuosa con el medio ambiente. Su sistema antigoteo permite servir una taza de café antes de que termine el ciclo de preparación. Equipada con una jarra de vidrio resistente al calor y tapa de seguridad, es fácil de mantener el café caliente y controlar el nivel. Con un panel de control intuitivo, encender, apagar y controlar el ciclo de preparación es sencillo. En conclusión, la Ariete Vintage Blue 00M134205AR0 ofrece un estilo retro encantador y funcionalidad moderna, siendo la elección perfecta para los amantes del café que buscan disfrutar de una taza deliciosa de manera conveniente en casa.",https://cdn.shopify.com/s/files/1/0500/5121/9607/files/3-100.jpg?v=1684969203,369.00
Tostador Ariete Vintage 4 Slices Blue,"Experimente la vanguardia de la innovación y la conveniencia con el excepcional Tostador Ariete Vintage 4 Slices Blue. Equipado con cuatro ranuras que le permiten tostar cuatro deliciosas rebanadas al mismo tiempo, este tostador redefine el arte del desayuno. Con sus seis niveles de tostado ajustables, puede personalizar cada rebanada según sus gustos y preferencias. La función de expulsión automática de las rebanadas agrega un toque de comodidad a su rutina matutina, mientras que su cuerpo de metal robusto y duradero asegura una larga vida útil. Prepárese para disfrutar de tostadas perfectamente doradas y crujientes en cada bocado, gracias a este tostador de última generación.",https://cdn.shopify.com/s/files/1/0500/5121/9607/files/tostadora4A-100.jpg?v=1684955191,379.00
Tostador Ariete Vintage 4 Slices Beige,"Experimente la vanguardia de la innovación y la conveniencia con el excepcional Tostador Ariete Vintage 4 Slices Beige. Equipado con cuatro ranuras que le permiten tostar cuatro deliciosas rebanadas al mismo tiempo, este tostador redefine el arte del desayuno. Con sus seis niveles de tostado ajustables, puede personalizar cada rebanada según sus gustos y preferencias. La función de expulsión automática de las rebanadas agrega un toque de comodidad a su rutina matutina, mientras que su cuerpo de metal robusto y duradero asegura una larga vida útil. Prepárese para disfrutar de tostadas perfectamente doradas y crujientes en cada bocado, gracias a este tostador de última generación.",https://cdn.shopify.com/s/files/1/0500/5121/9607/files/tostadora4.1-100.jpg?v=1684956067,379.00
Kit Ariete Vintage Beige,"Vuelve a la elegancia y originalidad de los años 50 ́s con el Tostador Vintage de Ariete, Hervidor Vintage Ariete, Cafetera Ariete Vintage. Harán que le des un toque magnífico a tu cocina.",https://cdn.shopify.com/s/files/1/0500/5121/9607/files/Mesadetrabajo1copia11-100.jpg?v=1684869715,1159.00
Kit Ariete Vintage Blue Blender,"Vuelve a la elegancia y originalidad de los años 50 ́s con el Picatodo Ariete Vintage Blue, Licuadora Ariete Vintage Blue, Exprimidor De Jugo Ariete Vintage Blue. Harán que le des un toque magnífico a tu cocina.",https://cdn.shopify.com/s/files/1/0500/5121/9607/files/Mesadetrabajo1copia17-100.jpg?v=1684869615,819.00
Kit Ariete Vintage Beige Sweet,"Dale un estilo retro a tu cocina con el Horno Vintage que Ariete tiene para ti, con el Horno Ariete Vintage Beige y la Batidora Ariete Vintage Beige, añadirás el toque vintage que le hace falta a tu cocina.",https://cdn.shopify.com/s/files/1/0500/5121/9607/files/Mesadetrabajo1copia3-100.jpg?v=1684869876,1159.00
Kit Ariete Vintage Blue,"Vuelve a la elegancia y originalidad de los años 50 ́s con el Tostador Vintage de Ariete, Hervidor Vintage Ariete, Cafetera Ariete Vintage. Harán que le des un toque magnífico a tu cocina.",https://cdn.shopify.com/s/files/1/0500/5121/9607/files/KITARIETEVINTAGEBLUE1-100.jpg?v=1684869515,1159.00
Cafetera Ariete Espresso 00M132410AR0,La Cafetera Espresso Ariete 00M132410AR0 es una cafetera de clase mundial que ofrece el sabor y la intensidad perfecta de un auténtico espresso italiano. Cuenta con una potencia de 1000W y una capacidad de 1.5 litros. Disfruta del café más cremoso y delicioso con la máquina ideal.,https://cdn.shopify.com/s/files/1/0500/5121/9607/files/cafetera1-100.jpg?v=1684875640,519.00
Kit FDV Kamado Pizza,"El Kamado Simple Cook un lujo para tus reuniones, con cuerpo y tapa de cerámica gruesa ultra resistente, Bandejas de bamboo, Patas de fierro. Ahora acompañado del Pizza Cutter de Simple Cook permitirá que cortes tus pizzas en porciones del tamaño que desees.",https://cdn.shopify.com/s/files/1/0500/5121/9607/files/PIZZA1-100.jpg?v=1684783055,2859.00
Kit FDV Diamond Black,"El Hervidor FDV Diamond Black de diseño tipo mosaico en color negro con terminaciones en acero inoxidable le dará el toque que tanto buscas a tu cocina. Combinado con el Tostador FDV Diamond Black de elegante diseño tipo mosaico en color negro con terminaciones en acero inoxidable, con ambos productos podrás preparar tus desayunos que tanto deseas.",https://cdn.shopify.com/s/files/1/0500/5121/9607/files/KITDI-100.jpg?v=1684777658,349.00
Cava de Vinos FDV Black,"Instalación Free Standing y puerta reversible, este Enfriador Vinos FDV Black se adapta con facilidad a lugares del hogar o cocina. Contando con 124 litros de utilidad lo que esto se traduce a 56 botellas. Tiene iluminación Led y control de temperatura digital. Su puerta con doble vidrio templado, permite mayor seguridad y mantener la perfecta temperatura de los vinos.",https://cdn.shopify.com/s/files/1/0500/5121/9607/products/14278-Enfriador-de-vinos-FDV-Black_700x_1.png?v=1672090988,1799.00
Cafetera Gaggia Semiautomática Classic  30 Edición Limitada,"Fuerza, agilidad, preparación, espectáculo, momento, placer, gesto y belleza son las palabras distintivas de este increíble proyecto. Identifican la conexión mágica entre los dos protagonistas de esta historia: el Home Barista y el Acrobat.Gaggia estuvo de acuerdo con esta interpretación simbólica desde el principio. Quien posee un Gaggia Classic trabaja duro y juega juegos de equilibrio entre mezclas, ajustes de molienda, apisonamiento, para alcanzar los mejores resultados.",https://cdn.shopify.com/s/files/1/0500/5121/9607/products/1_28.jpg?v=1631042734,3499.00
Cafetera Gaggia Semiautomática Classic Pro Blanco,Disfrute de una experiencia de café profesional. La máquina de café espresso manual de Gaggia Classic es la combinación perfecta de tradición y calidad. El grupo profesional y el portafiltros en latón cromado han sido diseñados para garantizar una temperatura óptima del café durante todo el proceso de elaboración y una calidad superior en la taza,https://cdn.shopify.com/s/files/1/0500/5121/9607/products/2_18.jpg?v=1631042587,2950.00
Maquina de Café Superautomática Cadorna Prestige,"Gaggia Cadorna Prestige es una cafetera 100% súper automática diseñada y producida en Italia . Le permite obtener 14 bebidas pre-establecidas, personalizar las características: longitud en la taza, cantidad de café y agua, aroma, etc. - y almacenarlos en 4 perfiles de usuario diferentes. Las molinillos son 100% en cerámicas, ajustables en 10 niveles, garantizan una extracción óptima de los aromas del café. Además cuenta con un reservorio para la leche y texturizador automático para preparar bebidas a base de leche. Interfaz de usuario intuitiva: una pantalla TFT a todo color te permite desplazarte a través de 14 bebidas especiales con botones retroiluminados y experimentar con una serie de ajustes personalizables para construir tu bebida favorita de estilo barista. Incluye filtro de agua. Contenedor de granos 250 gr. Tanque de agua 1.5 lt. Visualización TFT",https://cdn.shopify.com/s/files/1/0500/5121/9607/products/3_8.jpg?v=1620407784,5950.00
Moledor de Café Gaggia MD15,Contenedor de granos 300 gr. Contenedor de café molido 150 gr. Molienda ajustable en 15 posiciones. Cuchillas de acero inoxidable .,https://cdn.shopify.com/s/files/1/0500/5121/9607/products/8_5.jpg?v=1620746183,920.00
Cafetera Gaggia Superautomática Magenta Prestige,"Esencial pero elegante, está diseñado para todos. La gran interfaz de usuario y los botones capacitivos hacen que su uso sea fácil e inmediato. Gaggia Magenta es tu cafetería personal en casa con solo un clic. La Gaggia Magenta Prestige es una sofisticada y poderosa máquina de espresso que produce 12 auténticas bebidas disponibles con solo presionar un botón: Ristretto, Espresso, Espresso largo, Coffee, Cortado, Americano, Cappuccino, Cafè latte, Latte Macchiato, Cafè espumoso y agua caliente.",https://cdn.shopify.com/s/files/1/0500/5121/9607/products/1_24.jpg?v=1631042363,3949.00
Maquina de Café superautomatica besana,Gaggia Besana cuenta con Capacidad para preparar 2 cafés en simultaneo. Regulación del gramaje del café molido de 7 a 9 gr. Control de salida de agua caliente. Presión de bomba 15 bares. Lanza de vapor para capuchinos y lattes. Moledor incorporado con cuchillas cerámicas.  Contenedor de granos 170 gr. Tanque de agua  1 lt. Presión de bomba 15 bar.,https://cdn.shopify.com/s/files/1/0500/5121/9607/products/3_8_0db0ea05-b7aa-492b-bd06-1d37d42ef4c7.jpg?v=1620668882,2599.00
